
19	03	cc	6e	46	b2	51	01	e6	ec	13	91	b9	4d	ae	f2	a6	bc	32	90	bd	4d	2e	fe	cc	f8	30	91	31	76	82	fe	cc	70	15	b9	11	dc	e2	ff	f5	55	f5	39	41	99	fa	7f	e1	57	ff	71	c8	b9	bf	7d	63	7f	7f	7d	e8	ad	bf	7d	63	f6	63	55	e8	a5	9f	fd	63	be	6b	55	c8	ad	3f	bd	
19	03	cc	6e	46	b2	51	a1	e6	fc	13	91	b9	4d	ae	52	e6	ec	30	91	bd	5d	2e	5e	ac	28	76	98	31	66	a2	5e	88	b0	57	b0	51	8c	82	5e	01	15	33	30	59	85	d2	5f	55	bd	ab	25	49	85	ce	5d	75	d7	ab	35	e8	8b	ce	5d	e5	d6	ab	15	a8	cb	ce	5d	e7	fe	ab	95	a8	c9	4e	5d	
19	23	cc	2e	46	b2	51	21	e6	cc	13	d1	b9	4d	ae	da	e6	dc	30	d1	bd	4d	2e	d6	8c	10	37	d0	31	5e	82	d6	88	18	57	70	71	b6	c2	df	21	9c	e3	78	69	a4	ee	df	61	9d	e3	6c	c8	a1	fe	ff	65	9d	ab	ef	c8	e1	fe	ef	65	df	ab	cf	c8	c1	fe	ef	67	d5	bb	cf	d8	cd	be	cf	
19	01	dc	6e	46	b2	51	83	e6	ee	03	91	b9	4d	ae	78	e4	be	20	91	b9	4d	2e	74	8e	7a	26	90	75	56	a2	7c	82	72	c7	30	65	f8	c2	7c	63	f2	c3	a0	8c	ad	c2	75	67	f7	eb	a0	8c	25	4a	7d	6f	d7	6b	3b	b8	27	ca	3d	6d	d7	6b	3f	b9	0b	ca	3d	65	d7	6b	1f	98	03	ce	1d	
19	01	dc	2e	46	b2	51	81	e6	ee	03	d1	b9	4d	ae	7a	e4	fe	20	d1	b9	4d	2e	76	8e	3a	03	d0	75	5e	02	76	0b	32	c7	70	65	f4	c2	7f	63	b4	e7	60	ed	e5	ea	7d	66	97	6b	28	cc	e7	e8	7f	74	96	69	aa	9a	6f	ea	7e	74	9e	29	b3	9a	4f	ee	7e	70	9e	af	99	8a	21	ec	7e	
19	01	c4	2e	46	b2	50	11	e6	ee	1b	d1	b9	4d	af	ea	e4	be	38	d1	b9	4d	2f	e6	4e	72	3b	d0	f5	5c	03	ee	0f	7a	db	70	75	f6	e3	ee	a7	de	fb	7a	0f	e6	e2	d7	a1	94	ff	41	0f	eb	ce	55	e1	bd	ff	01	89	6b	de	5d	e0	bd	ff	17	88	6b	de	7d	e0	bd	ff	13	a8	4b	de	7d	
19	01	cc	2a	46	b2	50	01	e6	ee	13	d5	b9	4d	af	fa	e4	be	31	d5	b9	4d	2f	f6	0e	76	12	d4	f5	65	8b	fe	07	7a	f2	54	7d	de	c3	fe	67	fa	f2	76	0c	de	e6	fc	63	da	62	62	06	1e	66	dd	e3	f6	e1	e2	0e	5e	64	5f	f2	f4	b7	e2	2a	5e	e4	7f	fa	74	bf	e2	2b	12	64	7f	
19	21	c4	6a	46	b2	50	b1	e6	ce	1b	95	b9	4d	af	4a	e4	9e	18	94	bd	4d	2f	46	26	5e	3b	95	b1	47	8b	4e	4e	56	fb	b5	60	fe	c3	4e	4f	52	fb	35	48	fc	43	5e	ef	52	fb	73	48	5c	e6	5e	fd	f2	e7	73	cb	18	e6	5e	7d	f2	6f	53	cb	11	a6	5e	5f	b0	ef	52	cf	19	b6	df	
19	20	cc	6a	46	b2	52	91	e6	cf	13	95	b9	4d	ad	6a	e6	df	33	95	b9	4d	2d	66	64	17	70	94	25	4d	8d	6e	0c	13	90	94	64	f6	01	6e	0c	19	90	32	fe	f6	c3	4e	0d	9d	b5	22	fe	d6	f2	4e	5d	9c	b7	63	da	5a	f2	5c	ff	bc	b7	6b	d9	5a	f2	7d	f7	ac	3f	63	d9	5a	e6	7d	
19	20	cc	6a	46	b2	52	91	e6	cf	13	95	b9	4d	2d	6a	e6	9f	10	94	b9	4d	ad	66	4c	57	33	95	2d	4d	85	6e	2c	5f	f3	31	24	f6	81	6e	b4	db	f3	e3	d6	f6	f9	6e	75	fc	f3	c3	db	16	fa	4e	e5	f4	e7	6e	f9	16	fe	57	e7	f4	ef	76	f9	17	fe	5f	e7	54	67	76	db	57	fe	5d	
19	20	c4	62	46	b2	50	11	e6	cf	1b	9d	b9	4d	2f	ea	e4	df	39	9c	b9	4d	af	e6	6e	17	3a	9d	25	5f	87	ee	4e	9f	1a	bb	2f	56	97	ee	4e	bd	db	7b	7d	c4	de	ee	d7	38	f3	7b	dc	e4	ea	5f	97	70	f3	53	fe	a4	ea	5f	b7	f6	e3	53	f8	2d	ea	5f	b7	f6	f3	53	b8	69	ea	df	
